stage_b_order	accession	artifact_role	relative_path	bytes	sha256	row_sha256
7	GCF_921380995.1	annotation_aliases	canonical_objects/GCF_921380995.1/annotation_aliases.tsv	57213	9659f5c4d46b9bf80e7953442f2ac196456a5cc072cfe63d2b0c4dad2cd25aa8	bb0a8a69acaa5b8d18ce6d96ffde548f8ee183c717942adc167cec623986faed
7	GCF_921380995.1	canonical_manifest	canonical_objects/GCF_921380995.1/manifest.json	2344	f449c4a962b76c2197b9d8aa248183f4148c0de3b3714f95975a519d797bc7c0	24c45d0521cbc9bf6b0f59b8259fdb2bc6426ed525c349287f8191f6a48fcf97
8	GCF_000167895.3	source_package	source_objects/GCF_000167895.3/package.zip	2250915	c93f93b5a1bb283b3b58e7c3bddc3afda8de4395c57870656749c6b610b2a261	b153173e639dae98510dfad3ccf1a25cef2c0ed3b9181138c33022a394abd9ec
8	GCF_000167895.3	source_manifest	source_objects/GCF_000167895.3/manifest.json	3829	2052516861722216b75991b543b9fd9e95c3d0e2af7055a746d6ba2b616c6be5	d3f9adc2de94fc15f3ffd81e2a8e486cb73c55c77873b7da8c120745868f8848
8	GCF_000167895.3	canonical_bgzf	canonical_objects/GCF_000167895.3/GCF_000167895.3.pansn.fa.gz	1618499	c40b787b6cb6ca7ca44c7f90700b4dfc33094f1e2132f6071d5243aaa6911bb1	e8bbe6763b673041d120f0a4947eaeb9414412a41d523484115d846ec4d5d657
8	GCF_000167895.3	fai	canonical_objects/GCF_000167895.3/GCF_000167895.3.pansn.fa.gz.fai	14433	11b5d8549779e4f4d5a294ac17a258f4036e702f7691efabb68d84a3a0d1cff7	f5109177b52f053ad1abe59459150c792ccdd80f3ab2c98fa9ce3b562b945cb1
8	GCF_000167895.3	gzi	canonical_objects/GCF_000167895.3/GCF_000167895.3.pansn.fa.gz.gzi	1416	6873782bf972c317d445ec9ca17ef446a904bebdb935c248d1d407b6623f5299	e5e5469ad921a2e8f3561f70b941824c4f8b74d0b225dfd24080290ac28ff3a7
8	GCF_000167895.3	contig_crosswalk	canonical_objects/GCF_000167895.3/contigs.tsv	182911	e219a89d53e089231a72baa5d1431fe58371aa10f3c500209663fdaec300869f	71fe90ae934af42d4ffe3b4e6000d72c89e813ee6842aa48ef998ae5a52d6b8f
8	GCF_000167895.3	annotation_aliases	canonical_objects/GCF_000167895.3/annotation_aliases.tsv	240	cd40aa389a30100c781d654e00f2807198c3c498d97099f6457427282fc8f296	e4cb4a82b3409a7f640ee8a2fe282576858e8e120dcb61644a305264f055b5d5
8	GCF_000167895.3	canonical_manifest	canonical_objects/GCF_000167895.3/manifest.json	2427	c54ed10516de278aac2fb0eab1f07ced73bfc2c94ea5c6008a29eca2123db385	cc4a7adfd2fd35392ff2188d18fd9b726d92ebf705ec44550cfbd50ec8971fd9
9	GCF_001881595.4	source_package	source_objects/GCF_001881595.4/package.zip	1970974	e4c4cb1ba6a0b277901d3f996a1118e820ae022c95e1e254c038e26ff6945d6a	54299f18fe3978a17dd3c036b333a6c06d8d66466c182dfae5ce512f8a6e0169
9	GCF_001881595.4	source_manifest	source_objects/GCF_001881595.4/manifest.json	3830	851298697dee81ada5904d903a3b8a40721c9bfcafcbce240f16509104070aaf	657c082cd6052de109dfbd85cf31f9414883b454da7fb256a5be2e903d2daa85
9	GCF_001881595.4	canonical_bgzf	canonical_objects/GCF_001881595.4/GCF_001881595.4.pansn.fa.gz	1413336	19cd6d04bcc76fb646bc500edd1e9c5228ccc5bee09303f1c832510c2e8e9775	d936277210d2c32ffe3305b11977ad446f743602634cb047d3475ce338906824
9	GCF_001881595.4	fai	canonical_objects/GCF_001881595.4/GCF_001881595.4.pansn.fa.gz.fai	6054	0b64a2f8e5e708ed1bf40d67c4687984ba9982e959e791afa28f58b149771f67	ff0bce46882ba42c6980a85b9243efa352f9e86e2d92a52602bd2faab6af0cae
9	GCF_001881595.4	gzi	canonical_objects/GCF_001881595.4/GCF_001881595.4.pansn.fa.gz.gzi	1240	1bec5e1a03dc309b06754102a6d605a60270e2569fd48d801c46a4edcd9091aa	6d6e00020db81fc1f115e0ed1aaceea00e5d16f9b3a4225a2d44975049e73550
9	GCF_001881595.4	contig_crosswalk	canonical_objects/GCF_001881595.4/contigs.tsv	82145	af74671695e74500ab71df53f49dd61b03e3055232d489f2ce6424b00f4320b2	501945183dd1affd7def85f713f8b66425fc4ad0f539245f01a32d1a38fb5068
9	GCF_001881595.4	annotation_aliases	canonical_objects/GCF_001881595.4/annotation_aliases.tsv	37650	bc28b0c26e992b560eb924a780632a256edd1e1f5487d3e0d586b4f73162e387	e095cafc750303407d69ff2731de9a99c3c30c4f763290aedb075be4f1c48485
9	GCF_001881595.4	canonical_manifest	canonical_objects/GCF_001881595.4/manifest.json	2349	9b71ed62a777e626a7d3a3e72a04d2141fcf18190bd5047d20a8ea9f0b592f07	1b698668e5f201df57faec62bbcf1c3a1caf544fd28decf4dbeee8f09d398be2
10	GCF_000498835.2	source_package	source_objects/GCF_000498835.2/package.zip	2092095	7edd0d0d903facb5c38aea21cc77f9b57593381c59e04bb54dd2fabda538d53d	e3ea1eefccfa47740d1441f70a5425962fc88e0dd2c7708692ee4628850ada46
10	GCF_000498835.2	source_manifest	source_objects/GCF_000498835.2/manifest.json	3826	5e85fe90970b006029fc36fb3af98231293d025428c30a3c1eca2e64827b945f	862fd777006cd7fd9977c7b666a73bfeb09ad1a98dd01b9f1b913fd91ea2bf54
10	GCF_000498835.2	canonical_bgzf	canonical_objects/GCF_000498835.2/GCF_000498835.2.pansn.fa.gz	1517172	17b4a7bdde24087ca45de5548c7b82a7608db0a539cb309803b86671eb7750a5	1c4e3a3d471c937c3135de94a73b495c1331e34aefa41b7db053735fd6f3a430
10	GCF_000498835.2	fai	canonical_objects/GCF_000498835.2/GCF_000498835.2.pansn.fa.gz.fai	8616	605a7108dd0a0090d38912a0f6a276bdf7327a7c994908c670472bd117ba2972	e0de3ed7a703640a94be326097ac7c75029d98b68d355184787e0155366bdfa6
10	GCF_000498835.2	gzi	canonical_objects/GCF_000498835.2/GCF_000498835.2.pansn.fa.gz.gzi	1320	aec3e9c152bbf4c8a391ae22f134191ea1699970dc4cc6ecfe2894139775cbc3	aff1c31e6389612b64ee4973c1761cedcf737ad077276e6f2c171b5c1c772568
10	GCF_000498835.2	contig_crosswalk	canonical_objects/GCF_000498835.2/contigs.tsv	105276	5b07263a84fd4c29421297e887347516fb59e9972eddbe99286e9ead7e674c56	42d7a4e78ed197582e0978b55876195775bda677f85bf8e31a2820d583ab2381
10	GCF_000498835.2	annotation_aliases	canonical_objects/GCF_000498835.2/annotation_aliases.tsv	52860	177e83c4ede08ed34242a1c6951ace86cde8999702266b39416ad884825bc2fd	d6eb8504eb61e91fe0644d9d6c58e862045650d33739832569332ef220dea442
10	GCF_000498835.2	canonical_manifest	canonical_objects/GCF_000498835.2/manifest.json	2345	cf1e96f67c3e1ad56cd741ecb06ab6001f8664b8004f5541a57f65e5d8ca5de5	43695938ffb5d690538ce7ffddaa78a5c13e8e3c19ff542c6d09ed175feb0cfc
