scope	metric	value	unit	denominator	denominator_label	fraction	notes
taxonomy_assigned	per_genome_total_bp_1based_closed_population_sd	90354.51201	bp/genome	26077	normalized denominator genomes (zeros included)		
taxonomy_assigned	per_genome_total_bp_end_minus_begin_min	0	bp/genome	26077	normalized denominator genomes (zeros included)		
taxonomy_assigned	per_genome_total_bp_end_minus_begin_p01	6749.92	bp/genome	26077	normalized denominator genomes (zeros included)		
taxonomy_assigned	per_genome_total_bp_end_minus_begin_p05	22246.4	bp/genome	26077	normalized denominator genomes (zeros included)		
taxonomy_assigned	per_genome_total_bp_end_minus_begin_p25	60771	bp/genome	26077	normalized denominator genomes (zeros included)		
taxonomy_assigned	per_genome_total_bp_end_minus_begin_median	99990	bp/genome	26077	normalized denominator genomes (zeros included)		
taxonomy_assigned	per_genome_total_bp_end_minus_begin_p75	151479	bp/genome	26077	normalized denominator genomes (zeros included)		
taxonomy_assigned	per_genome_total_bp_end_minus_begin_p95	268485.8	bp/genome	26077	normalized denominator genomes (zeros included)		
taxonomy_assigned	per_genome_total_bp_end_minus_begin_p99	533777.52	bp/genome	26077	normalized denominator genomes (zeros included)		
taxonomy_assigned	per_genome_total_bp_end_minus_begin_max	892689	bp/genome	26077	normalized denominator genomes (zeros included)		
taxonomy_assigned	per_genome_total_bp_end_minus_begin_mean	118580.6056	bp/genome	26077	normalized denominator genomes (zeros included)		
taxonomy_assigned	per_genome_total_bp_end_minus_begin_population_sd	90352.3255	bp/genome	26077	normalized denominator genomes (zeros included)		
taxonomy_assigned	per_genome_hit_scaffold_count_min	0	scaffolds/genome	26077	normalized denominator genomes (zeros included)		
taxonomy_assigned	per_genome_hit_scaffold_count_p01	1	scaffolds/genome	26077	normalized denominator genomes (zeros included)		
taxonomy_assigned	per_genome_hit_scaffold_count_p05	1	scaffolds/genome	26077	normalized denominator genomes (zeros included)		
taxonomy_assigned	per_genome_hit_scaffold_count_p25	2	scaffolds/genome	26077	normalized denominator genomes (zeros included)		
taxonomy_assigned	per_genome_hit_scaffold_count_median	3	scaffolds/genome	26077	normalized denominator genomes (zeros included)		
taxonomy_assigned	per_genome_hit_scaffold_count_p75	5	scaffolds/genome	26077	normalized denominator genomes (zeros included)		
taxonomy_assigned	per_genome_hit_scaffold_count_p95	7	scaffolds/genome	26077	normalized denominator genomes (zeros included)		
taxonomy_assigned	per_genome_hit_scaffold_count_p99	9	scaffolds/genome	26077	normalized denominator genomes (zeros included)		
taxonomy_assigned	per_genome_hit_scaffold_count_max	18	scaffolds/genome	26077	normalized denominator genomes (zeros included)		
taxonomy_assigned	per_genome_hit_scaffold_count_mean	3.581163477	scaffolds/genome	26077	normalized denominator genomes (zeros included)		
taxonomy_assigned	per_genome_hit_scaffold_count_population_sd	2.010150523	scaffolds/genome	26077	normalized denominator genomes (zeros included)		
taxonomy_assigned	unique_locus_length_1based_closed_min	461	bp/locus	115442	valid unique loci		
taxonomy_assigned	unique_locus_length_1based_closed_p01	2964	bp/locus	115442	valid unique loci		
taxonomy_assigned	unique_locus_length_1based_closed_p05	6192.2	bp/locus	115442	valid unique loci		
taxonomy_assigned	unique_locus_length_1based_closed_p25	14272	bp/locus	115442	valid unique loci		
taxonomy_assigned	unique_locus_length_1based_closed_median	25575	bp/locus	115442	valid unique loci		
taxonomy_assigned	unique_locus_length_1based_closed_p75	36447	bp/locus	115442	valid unique loci		
taxonomy_assigned	unique_locus_length_1based_closed_p95	48860.95	bp/locus	115442	valid unique loci		
taxonomy_assigned	unique_locus_length_1based_closed_p99	87767	bp/locus	115442	valid unique loci		
taxonomy_assigned	unique_locus_length_1based_closed_max	222284	bp/locus	115442	valid unique loci		
taxonomy_assigned	unique_locus_length_1based_closed_mean	26786.97435	bp/locus	115442	valid unique loci		
taxonomy_assigned	unique_locus_length_1based_closed_population_sd	15767.61211	bp/locus	115442	valid unique loci		
taxonomy_assigned	unique_locus_span_end_minus_begin_min	460	bp/locus	115442	valid unique loci		
taxonomy_assigned	unique_locus_span_end_minus_begin_p01	2963	bp/locus	115442	valid unique loci		
taxonomy_assigned	unique_locus_span_end_minus_begin_p05	6191.2	bp/locus	115442	valid unique loci		
taxonomy_assigned	unique_locus_span_end_minus_begin_p25	14271	bp/locus	115442	valid unique loci		
