cohort_order	accession	storage_release_id	storage_root	source_object_relpath	source_inventory_sha256	canonical_object_relpath	canonical_inventory_sha256	reuse_status	predecessor_digest_match	row_sha256
40	GCF_902163565.1	SELF	.	source_objects/GCF_902163565.1	111692d58f6e1700c7a1ce4c62ad071c1e18eafb9a8dfaf6135654caecf66a91	canonical_objects/GCF_902163565.1	fca7ee9dc0a0069153e08577bac0e4481b606f4482e198bf845e04e7efe0f629	CREATED_OR_CHECKSUM_RESUMED	NOT_APPLICABLE_NEW_OBJECT	447d4e38820054a9f301682f832556c716f1ba3fd33c8393773b2dd05bb4eb8e
41	GCF_006351505.1	SELF	.	source_objects/GCF_006351505.1	a557d4241b6a3da2aea74d1004f48c457f3da53768a8ad9c81a43cf70a395ae6	canonical_objects/GCF_006351505.1	cd0d07311f99c44d3ef3f8bede02c8424af0d6dfeaf0a3877eeb24c77fd7944e	CREATED_OR_CHECKSUM_RESUMED	NOT_APPLICABLE_NEW_OBJECT	576c1d22bf61e94f0d85af7b3710066f1ca02f37bfb7e8f1d14c17ddb5d46947
42	GCF_005039315.1	SELF	.	source_objects/GCF_005039315.1	b401b907289658cbc98b22e99aeb878f767ccbe3864be56ab8e19ed5ca93f04f	canonical_objects/GCF_005039315.1	f49e3efca10e14f7f73553d9a14ef40929a764e31d780f190fac858299113e29	CREATED_OR_CHECKSUM_RESUMED	NOT_APPLICABLE_NEW_OBJECT	b163af0f3a5792aaee40ac61bb2a75e3c172a1d611514546a706e591164bba14
43	GCF_005384385.1	SELF	.	source_objects/GCF_005384385.1	185782fa6fbe1570f519c726d34deedeb48e57c54f58334314a39780cee37ded	canonical_objects/GCF_005384385.1	5d99bf9b09d63255d2d44a3a57038f7b3aa9c87618af36a97a3adecd2d17b901	CREATED_OR_CHECKSUM_RESUMED	NOT_APPLICABLE_NEW_OBJECT	6ddd771bc6514a0111edb7727b8a3afc6dc7f4f782e9b110d3e8d072ca518f7a
44	GCF_016530465.1	SELF	.	source_objects/GCF_016530465.1	e68ba2b227c850a1a4f8fdb9ca20bc143a0aed773ed9bae634c28849a051d3d7	canonical_objects/GCF_016530465.1	32f42f44338e69bf7988ee4a2acbd0933b3f581f18baf944a70583674d1ed112	CREATED_OR_CHECKSUM_RESUMED	NOT_APPLICABLE_NEW_OBJECT	8c8bfbb700ea21143e13014007d87bec735037f7033737ccc22d997d72a99fe6
45	GCF_002152015.1	SELF	.	source_objects/GCF_002152015.1	66aa5060ef3b3388948b37b1b4f94ad6c5b06875fbc32067a33d1b90059061d8	canonical_objects/GCF_002152015.1	84dff3383b301e88f61b88d2cc265a4f08a25a8b45db84048c752e9924bd7fa1	CREATED_OR_CHECKSUM_RESUMED	NOT_APPLICABLE_NEW_OBJECT	a4770d329c5b9783c95c008f1db781eac07d16f07c196e02224427f3ff5d5673
46	GCF_018344735.1	SELF	.	source_objects/GCF_018344735.1	9fa9a520b75c6f68517695067c055ec51808a7f157e18dfd67da6a3b1a78b308	canonical_objects/GCF_018344735.1	98c89c415bafb4b5c546f21fd7e98528185a814226309d705384078fb10ea607	CREATED_OR_CHECKSUM_RESUMED	NOT_APPLICABLE_NEW_OBJECT	bf322b8dc0be6b059696633a0dc2590b03094c059af328868fcc1e25109c6b24
47	GCF_002513625.1	SELF	.	source_objects/GCF_002513625.1	db4c90954612a38cdf8590364928cf9cd351e1ca433c1075b885db3b7e23fca9	canonical_objects/GCF_002513625.1	d1e90be82618d0073ed002b3d894de41f65bd4d3a3a98b3c55cae196d6a97207	CREATED_OR_CHECKSUM_RESUMED	NOT_APPLICABLE_NEW_OBJECT	437a435cfe68dda33a07bddaf27d9438a0bf2ebf6243a1b2dc2dec84ed8bc6e5
48	GCF_002229025.1	SELF	.	source_objects/GCF_002229025.1	107929a5a145646fdd8eeb532fea168902ec6535f04d09a8a46bf99f57224e19	canonical_objects/GCF_002229025.1	8e0e330ba1073cc2daf4175da053acf3e0bfa4713d2905979f0305dc57d268be	CREATED_OR_CHECKSUM_RESUMED	NOT_APPLICABLE_NEW_OBJECT	5d43d38763cdab3482202380655544218d6b7d9b7ba48bb542779c4e6cc1e43e
49	GCF_000778685.1	SELF	.	source_objects/GCF_000778685.1	6c28925e42b3dbc1fdc36b514473705c2ea979363cc56a453ee87e1e41c953c6	canonical_objects/GCF_000778685.1	c996307480858714910c45989d23020bd5b28f88fca1c303b1fde454495a2178	CREATED_OR_CHECKSUM_RESUMED	NOT_APPLICABLE_NEW_OBJECT	a44d2905d488bad9250925dedfdb611285e19b2a681dedc17c26170ce7f19327
50	GCF_020037245.1	SELF	.	source_objects/GCF_020037245.1	9f506fdefd8376681a3d733720f708e22c65d842d71ad4dc6063b91959d79680	canonical_objects/GCF_020037245.1	efae84011bcc131b5daeef2d6ae613f941908d127dde0e2af5a29fb76443203c	CREATED_OR_CHECKSUM_RESUMED	NOT_APPLICABLE_NEW_OBJECT	27ba07c4d8fef6d9d1511fe3808a17eff5b4b0c213bc5d718f908d0480708e0e
51	GCF_003731035.1	SELF	.	source_objects/GCF_003731035.1	c818a307a67ba6df2cfc5c5999a46435b73b6d3b094c4004346be4907619ba3b	canonical_objects/GCF_003731035.1	158fc8372195fb656b7fbf917bb99390c3d7be9ca93deda12c9a55441dbb6cd3	CREATED_OR_CHECKSUM_RESUMED	NOT_APPLICABLE_NEW_OBJECT	89d8a5b8252c0babe89ec9cfd9819809456460e36dfaa2abf604253b86c5c80c
52	GCF_000326585.1	SELF	.	source_objects/GCF_000326585.1	fb9c50daa1e6600a7785fa175c18c641f78b48f66c2247f9a92c04a23a3cdc22	canonical_objects/GCF_000326585.1	bac9e2de7a4be25e36173c5a4e8a4243ae52856ad87b8ec29b32248e84cb3817	CREATED_OR_CHECKSUM_RESUMED	NOT_APPLICABLE_NEW_OBJECT	8711b164a9866a215f5edb0c4c4f16fae73c7b457e42e2feae954a4c80e7200b
53	GCF_000780535.1	SELF	.	source_objects/GCF_000780535.1	0fca7cfdbd58c2068de6174edefda0c7398a29506f940f21e5839e9b98a19780	canonical_objects/GCF_000780535.1	48779ee5db3ff6cfb4fe34d594ad64d3600256fbd085e2e5399908b45351cbf0	CREATED_OR_CHECKSUM_RESUMED	NOT_APPLICABLE_NEW_OBJECT	416cadcf09f5c392d5415d884b117a828110a57990f6161a7bbd7619fbe8e29d
54	GCF_003570445.1	SELF	.	source_objects/GCF_003570445.1	f4b2556d24e8c3366c091f70e4b2c0a48269b3ac8175ca0f41df645ea75b0302	canonical_objects/GCF_003570445.1	1a13d80a22fb9bf799a5803cbf18b008a39c7fe846c11bba88dc1322b652c74e	CREATED_OR_CHECKSUM_RESUMED	NOT_APPLICABLE_NEW_OBJECT	f96f55cc49741251786b91d285901bbbc5f8507dee4c4de39334f6f0f1a06a1a
55	GCF_000447005.2	SELF	.	source_objects/GCF_000447005.2	97a285c51d3cf8857f339d3facc076fed5f96f8d19e8e4af3ab89b2e732c1e39	canonical_objects/GCF_000447005.2	4b36ca7f0c0dfedfdd278795f58b0a79084fe7ce25261351e7bc36b1976cb562	CREATED_OR_CHECKSUM_RESUMED	NOT_APPLICABLE_NEW_OBJECT	1869a11c83fa1f42a3f0950da06da911609ad16b3197647ee84bf2e6466bddb6
